Date,Winning Number
02-03-2010,172236375224
02-06-2010,142252545904
02-10-2010,50829373834
02-13-2010,101430405101
02-17-2010,70819263615
02-20-2010,132737415432
02-24-2010,41735505712
02-27-2010,184751535830
03-03-2010,70914454923
03-06-2010,102933415915
03-10-2010,172137415001
03-13-2010,61620313608
03-17-2010,242645485508
03-20-2010,93639444509
03-24-2010,142024394907
03-27-2010,72132445210
03-31-2010,51317455412
04-03-2010,101531525904
04-07-2010,43640445233
04-10-2010,212249525834
04-14-2010,61432385220
04-17-2010,52122414915
04-21-2010,113441495520
04-24-2010,11253565705
04-28-2010,122225284424
05-01-2010,162325495820
05-05-2010,133440475711
05-08-2010,52234415731
05-12-2010,375152535838
05-15-2010,152123283620
05-19-2010,20729555827
05-22-2010,192040475729
05-26-2010,10610132032
05-29-2010,10324284110
06-02-2010,40914394338
06-05-2010,183440485925
06-09-2010,142227324905
06-12-2010,91213353830
06-16-2010,81118293606
06-19-2010,93031505439
06-23-2010,113045474810
06-26-2010,133032385725
06-30-2010,63843474827
07-03-2010,31014525303
07-07-2010,104144485604
07-10-2010,202127285604
07-14-2010,202123384206
07-17-2010,222735374503
07-21-2010,162230515825
07-24-2010,203038465927
07-28-2010,11120252702
07-31-2010,11617415715
08-04-2010,192830375336
08-07-2010,42226315230
08-11-2010,71022235229
08-14-2010,93336505831
08-18-2010,43233475539
08-21-2010,71012222726
08-25-2010,161729313623
08-28-2010,42227325613
09-01-2010,172021405119
09-04-2010,111422334238
09-08-2010,103539515720
09-11-2010,71720365933
09-15-2010,72021344334
09-18-2010,11837394413
09-22-2010,102436525515
09-25-2010,81627354230
09-29-2010,134451525530
10-02-2010,122030364725
10-06-2010,142637414624
10-09-2010,20632424935
10-13-2010,122232344602
10-16-2010,111215162811
10-20-2010,71720395917
10-23-2010,20716204634
10-27-2010,202425535915
10-30-2010,10727364939
11-03-2010,343839455033
11-06-2010,71223343833
11-10-2010,50811404410
11-13-2010,173048515429
11-17-2010,141653545905
11-20-2010,101238535701
11-24-2010,82021323704
11-27-2010,103037475439
12-01-2010,51011122002
12-04-2010,132427314222
12-08-2010,81125415816
12-11-2010,10810192023
12-15-2010,101118324518
12-18-2010,41119334314
12-22-2010,113344464712
12-25-2010,11738505224
12-29-2010,31618203730
01-01-2011,182237475436
01-05-2011,222632384007
01-08-2011,60726335224
01-12-2011,192123404827
01-15-2011,91322233731
01-19-2011,223651565932
01-22-2011,303134455123
01-26-2011,40536475806
01-29-2011,242845495202
02-02-2011,31433535736
02-05-2011,153741565905
02-09-2011,71139425130
02-12-2011,113236485219
02-16-2011,91321234824
02-19-2011,31234374236
02-23-2011,293236394929
02-26-2011,41317214510
03-02-2011,73150515806
03-05-2011,22331424821
03-09-2011,122028404808
03-12-2011,10412414703
03-16-2011,283940485309
03-19-2011,31120274608
03-23-2011,51526283209
03-26-2011,41011193327
03-30-2011,192042565837
04-02-2011,62234434523
04-06-2011,101841555615
04-09-2011,51432535611
04-13-2011,42339495039
04-16-2011,213344455507
04-20-2011,92434364327
04-23-2011,31147485819
04-27-2011,42440445505
04-30-2011,61315324103
05-04-2011,31527294124
05-07-2011,21127475515
05-11-2011,91732434531
05-14-2011,81718404416
05-18-2011,71213424916
05-21-2011,20840495036
05-25-2011,42331425023
05-28-2011,122043515511
06-01-2011,81838465631
06-04-2011,171939415821
06-08-2011,143744455329
06-11-2011,161827365008
06-15-2011,192038414329
06-18-2011,122122384118
06-22-2011,121519465912
06-25-2011,183639415712
06-29-2011,243045575926
07-02-2011,11118295132
07-06-2011,111524505508
07-09-2011,10911233106
07-13-2011,81819325408
07-16-2011,242848505425
07-20-2011,10438404217
07-23-2011,10727384830
07-27-2011,384041515933
07-30-2011,204041475519
08-03-2011,131921284911
08-06-2011,253054575906
08-10-2011,111836414638
08-13-2011,91235505804
08-17-2011,182831485237
08-20-2011,21723284736
08-24-2011,91347495339
08-27-2011,21225545814
08-31-2011,131935475729
09-03-2011,152552535402
09-07-2011,30518275413
09-10-2011,41922325324
09-14-2011,164142505905
09-17-2011,62022324311
09-21-2011,124748525513
09-24-2011,30412274426
09-28-2011,304150515308
10-01-2011,11223274331
10-05-2011,72043465417
10-08-2011,32735374531
10-12-2011,101223434718
10-15-2011,51024384301
10-19-2011,162635525802
10-22-2011,30823305813
10-26-2011,11821395506
10-29-2011,111640515638
11-02-2011,121434394636
11-05-2011,23339404326
11-09-2011,53557585912
11-12-2011,43536515608
11-16-2011,132225395128
11-19-2011,91617283011
11-23-2011,43035575925
11-26-2011,203739455528
11-30-2011,20634354722
12-03-2011,51833434508
12-07-2011,31420394037
12-10-2011,41933415909
12-14-2011,22446525619
12-17-2011,132849515933
12-21-2011,101315315418
12-24-2011,141630515219
12-28-2011,162127414514
12-31-2011,52325284034
01-04-2012,213546475002
01-07-2012,32124383924
01-11-2012,51929454725
01-14-2012,103036384101
01-18-2012,62934445028
01-21-2012,122443444507
01-25-2012,41928294705
01-28-2012,53341545913
02-01-2012,81317345935
02-04-2012,152343455607
02-08-2012,172838395133
02-11-2012,11037525711
02-15-2012,111232525611
02-18-2012,232850565905
02-22-2012,71617395132
02-25-2012,61142535407
02-29-2012,10411232614
03-03-2012,293045474935
03-07-2012,123545464712
03-10-2012,51417204105
03-14-2012,10841465924
03-17-2012,111449555830
03-21-2012,324353555606
03-24-2012,11535374708
03-28-2012,111629505833
03-31-2012,51436545827
04-04-2012,12433454906
04-07-2012,51317203018
04-11-2012,162342444702
04-14-2012,141516192402
04-18-2012,202239464929
04-21-2012,60820425116
04-25-2012,42529344329
04-28-2012,313940575833
05-02-2012,70833385029
05-05-2012,91220445923
05-09-2012,10711555601
05-12-2012,102435535822
05-16-2012,30721284302
05-19-2012,81335465130
05-23-2012,40726535932
05-26-2012,131441495914
05-30-2012,91024525614
06-02-2012,91017294533
06-06-2012,193033485927
06-09-2012,182245565727
06-13-2012,71014335718
06-16-2012,81415162726
06-20-2012,111729565714
06-23-2012,10341445330
06-27-2012,63440465806
06-30-2012,71520414422
07-04-2012,141935395633
07-07-2012,30529395929
07-11-2012,52236495523
07-14-2012,41632374613
07-18-2012,20520235703
07-21-2012,93138545620
07-25-2012,31435384616
07-28-2012,50613365013
08-01-2012,31648565804
08-04-2012,193048535518
08-08-2012,30711152812
08-11-2012,41339465101
08-15-2012,62746515621
08-18-2012,142641555901
08-22-2012,222931475519
08-25-2012,10607204923
08-29-2012,252849545628
09-01-2012,81121444922
09-05-2012,41926425129
09-08-2012,62034444829
09-12-2012,243336485606
09-15-2012,32026434801
09-19-2012,10508395023
09-22-2012,21618404233
09-26-2012,132639414210
09-29-2012,141828295708
10-03-2012,172336555910
10-06-2012,152634365935
10-10-2012,182629354328
10-13-2012,20525264918
10-17-2012,10710234235
10-20-2012,42128314410
10-24-2012,31821235004
10-27-2012,223234365633
10-31-2012,12731454805
11-03-2012,40709305425
11-07-2012,323445525820
11-10-2012,324250545532
11-14-2012,81030445813
11-17-2012,31527585920
11-21-2012,81824303926
11-24-2012,223237445034
11-28-2012,51622232906
12-01-2012,31019364603
12-05-2012,131719273812
12-08-2012,72326405321
12-12-2012,81025364428
12-15-2012,152340445514
12-19-2012,50820233003
12-22-2012,11835394411
12-26-2012,111323435404
12-29-2012,364650525514
01-02-2013,182028355320
01-05-2013,263049515425
01-09-2013,111320275926
01-12-2013,101421234707
01-16-2013,92128325135
01-19-2013,82829343835
01-23-2013,111224434509
01-26-2013,32226414918
01-30-2013,141632475216
02-02-2013,111633404134
02-06-2013,52736384112
02-09-2013,50616365803
02-13-2013,122325274329
02-16-2013,151646505829
02-20-2013,31719253217
02-23-2013,20531394129
02-27-2013,31420344821
03-02-2013,30813415616
03-06-2013,61023414501
03-09-2013,103740465212
03-13-2013,50928323829
03-16-2013,30721445316
03-20-2013,131417435415
03-23-2013,172931525331
03-27-2013,73743485216
03-30-2013,112326465527
04-03-2013,10608123503
04-06-2013,40708293924
04-10-2013,13640525320
04-13-2013,101231565733
04-17-2013,131836485828
04-20-2013,60830394820
04-24-2013,91931565902
04-27-2013,32348545505
05-01-2013,222631545518
05-04-2013,71226364017
05-08-2013,212226305727
05-11-2013,61319234316
05-15-2013,21126344132
05-18-2013,101314225211
05-22-2013,93135415726
05-25-2013,20619212725
05-29-2013,91417495702
06-01-2013,222833535914
06-05-2013,42633365532
06-08-2013,21122263219
06-12-2013,162223425532
06-15-2013,283640485501
06-19-2013,74647525717
06-22-2013,131923335728
06-26-2013,11833394633
06-29-2013,82830535616
07-03-2013,30629405104
07-06-2013,21335365211
07-10-2013,303145555927
07-13-2013,20822353706
07-17-2013,12234384217
07-20-2013,142527385806
07-24-2013,92940445407
07-27-2013,92340535806
07-31-2013,82439495905
08-03-2013,212436424515
08-07-2013,52530585932
08-10-2013,41214375813
08-14-2013,41117435120
08-17-2013,182146545623
08-21-2013,304042464823
08-24-2013,121725455919
08-28-2013,60709193213
08-31-2013,20725405620
09-04-2013,20926454711
09-07-2013,21922264524
09-11-2013,111933425233
09-14-2013,11725374420
09-18-2013,71022323519
09-21-2013,121745545813
09-25-2013,20717495323
09-28-2013,144752535405
10-02-2013,40625425117
10-05-2013,111217394005
10-09-2013,30919333818
10-12-2013,81026575804
10-16-2013,32628344228
10-19-2013,93354565705
10-23-2013,32331344713
10-26-2013,40634495629
10-30-2013,23640495410
11-02-2013,132324274017
11-06-2013,10510154922
11-09-2013,30937495632
11-13-2013,53150555609
11-16-2013,102937445910
11-20-2013,41823324507
11-23-2013,51243525510
11-27-2013,182550555717
11-30-2013,52644455729
12-04-2013,60911314425
12-07-2013,132032454817
12-11-2013,11013181927
12-14-2013,142532334134
12-18-2013,72437394001
12-21-2013,253640455108
12-25-2013,232838395632
12-28-2013,83544515618
01-01-2014,152440485223
01-04-2014,192037415814
01-08-2014,102839475822
01-11-2014,101533485434
01-15-2014,70809242925
01-18-2014,131419313825
01-22-2014,10207095529
01-25-2014,81218555702
01-29-2014,112328324720
02-01-2014,51215273807
02-05-2014,81732575924
02-08-2014,242534375429
02-12-2014,364449525701
02-15-2014,20914212303
02-19-2014,11735495434
02-22-2014,20313145404
02-26-2014,111217384202
03-01-2014,30825304713
03-05-2014,30709265419
03-08-2014,101424324130
03-12-2014,141528375410
03-15-2014,20534515809
03-19-2014,21923344314
03-22-2014,132831555815
03-26-2014,283341445921
03-29-2014,20312273817
04-02-2014,81319225324
04-05-2014,112126333429
04-09-2014,91444484929
04-12-2014,142645545520
04-16-2014,343942445908
04-19-2014,50629355121
04-23-2014,192529364812
04-26-2014,30722303320
04-30-2014,20911195032
05-03-2014,51516464926
05-07-2014,172931484934
05-10-2014,43141475501
05-14-2014,73339525533
05-17-2014,233239474922
05-21-2014,42034395831
05-24-2014,151628495518
05-28-2014,22428325925
05-31-2014,152731344801
06-04-2014,10710224924
06-07-2014,283035585915
06-11-2014,141825334923
06-14-2014,93342455430
06-18-2014,60929525907
06-21-2014,50637415426
06-25-2014,102025505335
07-02-2014,81845535835
07-05-2014,243436575811
07-09-2014,92542555714
07-12-2014,20307235126
07-16-2014,51518263235
07-19-2014,101725455309
07-23-2014,41012223103
07-26-2014,242830383916
07-30-2014,133042495329
08-02-2014,122644464729
08-06-2014,10824284924
08-09-2014,31231345124
08-13-2014,83739405224
08-16-2014,70817485909
08-20-2014,40821384003
08-23-2014,283235365231
08-27-2014,172426454619
08-30-2014,52831525927
09-03-2014,21643455135
09-06-2014,92931435018
09-10-2014,21439404313
09-13-2014,10616375327
09-17-2014,182536485023
09-20-2014,222330373916
09-24-2014,71421244126
09-27-2014,21135525413
10-01-2014,10418204507
10-04-2014,131824253331
10-08-2014,51631465018
10-11-2014,101937383928
10-15-2014,50719272820
10-18-2014,202627365419
10-22-2014,293040425016
10-25-2014,61051545712
10-29-2014,252848575916
11-01-2014,10313253817
11-05-2014,21119214234
11-08-2014,91933385415
11-12-2014,373951525511
11-15-2014,131633355128
11-19-2014,63638485117
11-22-2014,234953545735
11-26-2014,161722465435
11-29-2014,132430424827
12-03-2014,253032465426
12-06-2014,121522434914
12-10-2014,344448545510
12-13-2014,51328435533
12-17-2014,223138474815
12-20-2014,141519315605
12-24-2014,111246475022
12-27-2014,71011143615
12-31-2014,172737405335
01-03-2015,41843465525
01-07-2015,141547495910
01-10-2015,20919282919
01-14-2015,20410415322
01-17-2015,151623273609
01-21-2015,111215285723
01-24-2015,161920293310
01-28-2015,122435364901
01-31-2015,51116265034
02-04-2015,243651525622
02-07-2015,51021345833
02-11-2015,111325395419
02-14-2015,12444455128
02-18-2015,10929324922
02-21-2015,101418345126
02-25-2015,171921323908
02-28-2015,111725284612
03-04-2015,81215355032
03-07-2015,343638425033
03-11-2015,112431404427
03-14-2015,81439464718
03-18-2015,142530334708
03-21-2015,111630384207
03-25-2015,71923505414
03-28-2015,20406123817
04-01-2015,23033394401
04-04-2015,333940415428
04-08-2015,11945465829
04-11-2015,11232425812
04-15-2015,11621294030
04-18-2015,132223293117
04-22-2015,101425395318
04-25-2015,213335384512
04-29-2015,12634385106
05-02-2015,20611303133
05-06-2015,232427394130
05-09-2015,41517355817
05-13-2015,12529314707
05-16-2015,242938485232
05-20-2015,11228354425
05-23-2015,91517314316
05-27-2015,81534535923
05-30-2015,80925565722
06-03-2015,60813374011
06-06-2015,81318274315
06-10-2015,313248495325
06-13-2015,294148525429
06-17-2015,202122415407
06-20-2015,91016205715
06-24-2015,30510223207
06-27-2015,182835464927
07-01-2015,72426314125
07-04-2015,30614182421
07-08-2015,41525273018
07-11-2015,113946525403
07-15-2015,131634455011
07-18-2015,63739455533
07-22-2015,123143445711
07-25-2015,272934414402
07-29-2015,42227285235
08-01-2015,71324495715
08-05-2015,91114164219
08-08-2015,93448525415
08-12-2015,81329385228
08-15-2015,31317425224
08-19-2015,60843485007
08-22-2015,41214215507
08-26-2015,22232455612
08-29-2015,182125282916
09-02-2015,172230465616
09-05-2015,101618294519
09-09-2015,444547505108
09-12-2015,20313163527
09-16-2015,50724313907
09-19-2015,121726434824
09-23-2015,82941515805
09-26-2015,233142505705
09-30-2015,213940555917
10-03-2015,62633444604
10-07-2015,183040485209
10-10-2015,122729436801
10-14-2015,152029314001
10-17-2015,484957626919
10-21-2015,303242565711
10-24-2015,203156606402
10-28-2015,45456626310
10-31-2015,92025476807
11-04-2015,21217206517
11-07-2015,71625505315
11-11-2015,42632556418
11-14-2015,142237456605
11-18-2015,174041466906
11-21-2015,374750525721
11-25-2015,162953586921
11-28-2015,20647666702
12-02-2015,141819326409
12-05-2015,132733476813
12-09-2015,71016465601
12-12-2015,21419306222
12-16-2015,91032425506
12-19-2015,283041596810
12-23-2015,163855636725
12-26-2015,274044596520
12-30-2015,123638546122
01-02-2016,50615294210
01-06-2016,21147626317
01-09-2016,161932345713
01-13-2016,40819273410
01-16-2016,35152616406
01-20-2016,53944476924
01-23-2016,223234406919
01-27-2016,31240526721
01-30-2016,51216314318
02-03-2016,262831606723
02-06-2016,41331365208
02-10-2016,20340506205
02-13-2016,71518193620
02-17-2016,71727294025
02-20-2016,111215165425
02-24-2016,213164656705
02-27-2016,101121225318
03-02-2016,121344526206
03-05-2016,32734596919
03-09-2016,142332346803
03-12-2016,112850576223
03-16-2016,101213465021
03-19-2016,112343546003
03-23-2016,50815224925
03-26-2016,112342526806
03-30-2016,244453556319
04-02-2016,92830406103
04-06-2016,42849606525
04-09-2016,142223416109
04-13-2016,303335386422
04-16-2016,31825325103
04-20-2016,122530526208
04-23-2016,193546596213
04-27-2016,22533396417
04-30-2016,31216323414
05-04-2016,304757666903
05-07-2016,52526446609
05-11-2016,203252666923
05-14-2016,132747646509
05-18-2016,232539546711
05-21-2016,50709233226
05-25-2016,112441596415
05-28-2016,63334585912
06-01-2016,233033406912
06-04-2016,162022436417
06-08-2016,122537606920
06-11-2016,202736415807
06-15-2016,42224313310
06-18-2016,22341536311
06-22-2016,144042435217
06-25-2016,32736566925
06-29-2016,232937606406
07-02-2016,103439596304
07-06-2016,22431576618
07-09-2016,102832616412
07-13-2016,31529545710
07-16-2016,111740506226
07-20-2016,62535586605
07-23-2016,50723353911
07-27-2016,104750656824
07-30-2016,111721233205
08-03-2016,91127666702
08-06-2016,203336475212
08-10-2016,235661646712
08-13-2016,384460646906
08-17-2016,334449505208
08-20-2016,30621606824
08-24-2016,91125646516
08-27-2016,43248496320
08-31-2016,51024566112
09-03-2016,73950596725
09-07-2016,222329335521
09-10-2016,31749556808
09-14-2016,101123283114
09-17-2016,91951556214
09-21-2016,12863676917
09-24-2016,71520294122
09-28-2016,303852536201
10-01-2016,21250616401
10-05-2016,81827296015
10-08-2016,35461646809
10-12-2016,163034374416
10-15-2016,234957646720
10-19-2016,101638436323
10-22-2016,12833555622
10-26-2016,20316485624
10-29-2016,192021424823
11-02-2016,131837546105
11-05-2016,213150516908
11-09-2016,12528315402
11-12-2016,81720275224
11-16-2016,284161636507
11-19-2016,162428436121
11-23-2016,73241476103
11-26-2016,171921374416
11-30-2016,31418254507
12-03-2016,81026273322
12-07-2016,414849536420
12-10-2016,122132446615
12-14-2016,182637396615
12-17-2016,10816404810
12-21-2016,253340546803
12-24-2016,283842515221
12-28-2016,162330445804
12-31-2016,10328576709
01-04-2017,161729414204
01-07-2017,31224376310
01-11-2017,10313164324
01-14-2017,235559646913
01-18-2017,94041535812
01-21-2017,232545526702
01-25-2017,182862666822
01-28-2017,122039496917
02-01-2017,94357606410
02-04-2017,61316175225
02-08-2017,142042496605
02-11-2017,50917376402
02-15-2017,52833384219
02-18-2017,30709313320
02-22-2017,101328526102
02-25-2017,63247626519
03-01-2017,101640525517
03-01-2017,101640525517
03-04-2017,21819226319
03-08-2017,233342465904
03-11-2017,12641505711
03-15-2017,163041485316
03-18-2017,132544546705
03-22-2017,20927294209
03-25-2017,183132454816
03-29-2017,81531366211
04-01-2017,93236446501
04-05-2017,82046535413
04-08-2017,233651536015
04-12-2017,81461636824
04-15-2017,52226456113
04-19-2017,11937405215
04-22-2017,213941486306
04-26-2017,11518265126
04-29-2017,222324456205
05-03-2017,171849596609
05-06-2017,112131415921
05-10-2017,293146566208
05-13-2017,172032636819
05-17-2017,41139454809
05-20-2017,52245475403
05-24-2017,283233386215
05-27-2017,51028556709
05-31-2017,43339466006
06-03-2017,30921415425
06-07-2017,52157666913
06-14-2017,52243576324
06-17-2017,101332536221
06-21-2017,144661656813
06-24-2017,102232365810
06-28-2017,293746536808
07-01-2017,194245485316
07-05-2017,40916546821
07-08-2017,81029405926
07-12-2017,10218236109
07-15-2017,94063646617
07-19-2017,505159616304
07-22-2017,53244536009
07-26-2017,71921426912
07-29-2017,12840454812
08-02-2017,11654636918
08-05-2017,112128334511
08-09-2017,123036476209
08-12-2017,202426354919
08-16-2017,91543606404
08-19-2017,171939436813
08-23-2017,60716232604
08-26-2017,71532386615
08-30-2017,192843676907
09-02-2017,62141526226
09-06-2017,81432586717
09-09-2017,62029575922
09-13-2017,172435576319
09-16-2017,171824253124
09-20-2017,394853676826
09-23-2017,244555565719
09-27-2017,81021232522
09-30-2017,81225416415
10-04-2017,222362636624
10-07-2017,104961636507
10-11-2017,10313196923
10-14-2017,323756666911
10-18-2017,304954666908
10-21-2017,144142456904
10-25-2017,182229545708
10-28-2017,273538576610
11-01-2017,30619264401
11-04-2017,121426485113
11-08-2017,121420213422
11-11-2017,40616305618
11-15-2017,233244485025
11-18-2017,172831323926
11-22-2017,353746516113
11-25-2017,81327535404
11-29-2017,242628596316
12-02-2017,283032365806
12-06-2017,192050556209
12-09-2017,253637556006
12-13-2017,22428515807
12-16-2017,93537506311
12-20-2017,12061646920
12-23-2017,10313154425
12-27-2017,30916566003
12-30-2017,283641515824
01-03-2018,21837394212
01-06-2018,126130293326
01-10-2018,72433495004
01-13-2018,142535586924
01-17-2018,33337515721
01-20-2018,262847495803
01-24-2018,50911336421
01-27-2018,172126475407
01-31-2018,40714465922
02-03-2018,152327485306
02-07-2018,233435404710
02-10-2018,11327415920
02-14-2018,373944466926
02-17-2018,132639446202
02-21-2018,71531343608
02-24-2018,242538626306
02-28-2018,123059656916
03-03-2018,131725364005
03-07-2018,61319365118
03-10-2018,434454616922
03-14-2018,61224416809
03-17-2018,225759606607
03-21-2018,30418296125
03-24-2018,103345535624
03-28-2018,60826525321
03-31-2018,82452556121
04-04-2018,82442546424
04-07-2018,21720383920
04-11-2018,161827556718
04-14-2018,171926616215
04-18-2018,91012172309
04-21-2018,405054626919
04-25-2018,171839566412
04-28-2018,202228455008
05-02-2018,51431405006
05-05-2018,142936576117
05-09-2018,111638506919
05-12-2018,224245555614
05-16-2018,171921225119
05-19-2018,30609175625
05-23-2018,205456616407
05-26-2018,12131454921
05-30-2018,172326466820
06-02-2018,232537446407
06-06-2018,232841535614
06-09-2018,61015253614
06-13-2018,132038455501
06-16-2018,94557586509
06-20-2018,41423275613
06-23-2018,162943455625
06-27-2018,72837626315
06-30-2018,30920426124
07-04-2018,40715414410
07-07-2018,11043456422
07-11-2018,192127464707
07-14-2018,224142496711
07-18-2018,11027283612
07-21-2018,92356586801
07-25-2018,21841446426
07-28-2018,222746566513
08-01-2018,52232385826
08-04-2018,31138445802
08-08-2018,102130436317
08-11-2018,54356626824
08-15-2018,121528474816
08-18-2018,243452616716
08-22-2018,10745476913
08-25-2018,202554576308
08-29-2018,254153576712
09-01-2018,115455616609
09-05-2018,61550596013
09-08-2018,31320323321
09-12-2018,62848636424
09-15-2018,21819243403
09-19-2018,43948505111
09-22-2018,246163646918
09-26-2018,10207305008
09-29-2018,91734596422
10-03-2018,415359636603
10-06-2018,12227536715
10-10-2018,82327426007
10-13-2018,111432436515
10-17-2018,35764686915
10-20-2018,165457626923
10-24-2018,32145535622
10-27-2018,81213192704
10-31-2018,72539404720
11-03-2018,152124326511
11-07-2018,262834425025
11-10-2018,52934535724
11-14-2018,74249626923
11-17-2018,60820526805
11-21-2018,71423385518
11-24-2018,113351565818
11-28-2018,41959686921
12-01-2018,101147555826
12-05-2018,91136373811
12-08-2018,143234466110
12-12-2018,40921296426
12-15-2018,83843525517
12-22-2018,212830405926
12-19-2018,152931374316
12-26-2018,52538526724
12-29-2018,124251536225
01-02-2019,81242465612
01-05-2019,30715276919
01-09-2019,61937495922
01-12-2019,73648575824
01-16-2019,142931566101
01-19-2019,50841656620
01-23-2019,232547485024
01-26-2019,81220213210
01-30-2019,21216295406
02-02-2019,101718436513
02-06-2019,51328386321
02-09-2019,10203073925
02-13-2019,20814246926
02-16-2019,293041486401
02-20-2019,274950515202
02-23-2019,40614203213
02-27-2019,213142495923
03-02-2019,11925276821
03-06-2019,61021354623
03-09-2019,50645555914
03-13-2019,183645476914
03-16-2019,303439536711
03-20-2019,101450536321
03-23-2019,242552606605
03-27-2019,162037446212
03-30-2019,215254646804
04-03-2019,161925324918
04-06-2019,153343596008
04-10-2019,122123396706
04-13-2019,41726324910
04-17-2019,11517466615
04-20-2019,32730636501
04-24-2019,63235366504
04-27-2019,22941456206
05-01-2019,52328566617
05-04-2019,61623306102
05-08-2019,14553646603
05-11-2019,60809374026
05-15-2019,71733616804
05-18-2019,21025666726
05-22-2019,71020445703
05-25-2019,10239436602
05-29-2019,33234426107
06-01-2019,61534455208
06-05-2019,172328343808
06-08-2019,91342486018
06-12-2019,53538425713
06-15-2019,81114164914
06-19-2019,41821263801
06-22-2019,30611146621
06-26-2019,10516225424
06-29-2019,131724596208
07-03-2019,404345506125
07-06-2019,40823466501
07-10-2019,70926446803
07-13-2019,132332356821
07-17-2019,194347606810
07-20-2019,52636646919
07-24-2019,222935535613
07-27-2019,11931486106
07-31-2019,143747556706
08-03-2019,30645666813
08-07-2019,83247535903
08-10-2019,354144585903
08-14-2019,101330516910
08-17-2019,182124306020
08-21-2019,122122293221
08-24-2019,51220214701
08-28-2019,93237415614
08-31-2019,144150565718
09-04-2019,40830525902
09-07-2019,112041425606
09-11-2019,61724535703
09-14-2019,112731366711
09-18-2019,141939475115
09-21-2019,10922366822
09-25-2019,374344455325
09-28-2019,152334515504
10-02-2019,40810435307
10-05-2019,61436515404
10-09-2019,51833436502
10-12-2019,122934536523
10-16-2019,10525636703
10-19-2019,142729596512
10-23-2019,51250616923
10-26-2019,32048545904
10-30-2019,192252566721
11-02-2019,32332375822
11-06-2019,152846626417
11-09-2019,141735386025
11-13-2019,232627286611
11-16-2019,142226556326
11-20-2019,71539405712
11-23-2019,283538616623
11-27-2019,152637535521
11-30-2019,153542636818
12-04-2019,82744516114
12-07-2019,184253626625
12-11-2019,242942446310
12-14-2019,30612326419
12-18-2019,141826396809
12-21-2019,193135506714
12-25-2019,20416304620
12-28-2019,202339596018
01-01-2020,495357596226
01-04-2020,11121255407
01-08-2020,20407435622
01-11-2020,32123315903
01-15-2020,394153556819
01-18-2020,202438566818
01-22-2020,113344596708
01-25-2020,20917366718
01-29-2020,91215316002
02-01-2020,123354576013
02-05-2020,233035415702
