Dates,Daily-deaths
2020-03-18,2
2020-03-19,2
2020-03-20,3
2020-03-21,3
2020-03-22,5
2020-03-23,6
2020-03-24,7
2020-03-25,8
2020-03-26,9
2020-03-27,11
2020-03-28,12
2020-03-29,14
2020-03-30,21
2020-03-31,26
2020-04-01,27
2020-04-02,34
2020-04-03,40
2020-04-04,41
2020-04-05,47
2020-04-06,53
2020-04-07,57
2020-04-08,61
2020-04-09,65
2020-04-10,66
2020-04-11,86
2020-04-12,91
2020-04-13,93
2020-04-14,96
2020-04-15,111
2020-04-16,128
2020-04-17,135
2020-04-18,143
2020-04-19,168
2020-04-20,176
2020-04-21,201
2020-04-22,212
2020-04-23,235
2020-04-24,253
2020-04-25,269
2020-04-26,281
2020-04-27,292
2020-04-28,312
2020-04-29,343
2020-04-30,361
2020-05-01,417
2020-05-02,437
2020-05-03,457
2020-05-04,476
2020-05-05,514
2020-05-06,544
2020-05-07,585
2020-05-08,599
2020-05-09,636
2020-05-10,659
2020-05-11,667
2020-05-12,724
2020-05-13,761
2020-05-14,770
2020-05-15,803
2020-05-16,834
2020-05-17,873
2020-05-18,903
2020-05-19,939
2020-05-20,985
2020-05-21,1017
2020-05-22,1067
2020-05-23,1101
2020-05-24,1133
2020-05-25,1167
2020-05-26,1197
2020-05-27,1225
2020-05-28,1260
2020-05-29,1317
2020-05-30,1395
2020-05-31,1483
2020-06-01,1543
2020-06-02,1621
2020-06-03,1688
2020-06-04,1770
2020-06-05,1838
2020-06-06,1935
2020-06-07,2002
2020-06-08,2067
2020-06-09,2172
2020-06-10,2255
2020-06-11,2356
2020-06-12,2463
2020-06-13,2551
2020-06-14,2632
2020-06-15,2729
2020-06-16,2839
2020-06-17,2975
2020-06-18,3093
2020-06-19,3229
2020-06-20,3382
2020-06-21,3501
2020-06-22,3590
2020-06-23,3695
2020-06-24,3755
2020-06-25,3903
2020-06-26,3962
2020-06-27,4035
2020-06-28,4118
2020-06-29,4167
2020-06-30,4304
2020-07-01,4494
2020-07-02,4685
2020-07-03,4949
2020-07-04,5158
2020-07-05,5401
2020-07-06,5697
2020-07-07,6034
2020-07-08,6327
2020-07-09,6695
2020-07-10,6991
2020-07-11,7319
2020-07-12,7676
2020-07-13,8102
2020-07-14,8559
2020-07-15,8948
2020-07-16,9388
2020-07-17,9939
2020-07-18,10352
2020-07-19,10881
2020-07-20,11421
2020-07-21,11999
2020-07-22,12717
2020-07-23,13418
2020-07-24,14079
2020-07-25,14985
2020-07-26,15739
2020-07-27,16659
2020-07-28,17641
2020-07-29,18532
2020-07-30,19574